GRUPO;PRODUCTO;LABOR;RENDIMIENTO
SIEMBRA;SOLIDAGO;ARMADO DE CAMAS;0.6
SIEMBRA;SOLIDAGO;COLOCACIÓN DE MALLAS;3
SIEMBRA;SOLIDAGO;CAMBIO DE ESCALERILLAS PODA;5
SIEMBRA;SOLIDAGO;COLOCACIÓN DE PINGOS;15
SIEMBRA;SOLIDAGO;PODA GUADAÑADO ;2
SIEMBRA;SOLIDAGO;SIEMBRA;1000
SIEMBRA;SOLIDAGO;COLOCACIÓN DE ALAMBRE;6
SIEMBRA;SOLIDAGO;PARCHADO DE CAMAS;
SIEMBRA;VERONICA;ARMADO DE CAMAS;1
SIEMBRA;VERONICA;COLOCACIÓN DE MALLAS;3
SIEMBRA;VERONICA;COLOCACIÓN DE ESCALERILLAS;5
SIEMBRA;VERONICA;COLOCACIÓN DE PINGOS;15
SIEMBRA;VERONICA;PODA TIJERA;500
SIEMBRA;VERONICA;PODA GUADAÑADO ;2
SIEMBRA;VERONICA;SIEMBRA;1000
SIEMBRA;VERONICA;COLOCACIÓN DE ALAMBRE;
SIEMBRA;VERONICA;TUMBA;3
SIEMBRA;HYPERICUM;ARMADO DE CAMAS;0.6
SIEMBRA;HYPERICUM;COLOCACIÓN DE MALLAS;3
SIEMBRA;HYPERICUM;COLOCACIÓN DE ESCALERILLAS;5
SIEMBRA;HYPERICUM;COLOCACIÓN DE PINGOS;15
SIEMBRA;HYPERICUM;Poda con Tijera;500
SIEMBRA;HYPERICUM;SIEMBRA;1000
SIEMBRA;HYPERICUM;COLOCACIÓN DE ALAMBRE;6
SIEMBRA;HYPERICUM;PARCHADO DE CAMAS;
SIEMBRA;HYPERICUM;TEJIDO VIEJO;4
SIEMBRA;SUNFLOWER;ARMADO DE CAMAS;
SIEMBRA;SUNFLOWER;COLOCACIÓN DE MALLAS;2
SIEMBRA;SUNFLOWER;COLOCACIÓN DE ESCALERILLAS;5
SIEMBRA;SUNFLOWER;COLOCACIÓN DE PINGOS;
SIEMBRA;SUNFLOWER;RESIEMBRA;
SIEMBRA;SUNFLOWER;SIEM.SEMILLA;1200
SIEMBRA;SUNFLOWER;SIEM.PLANTULA;650
SIEMBRA;SUNFLOWER;COLOCACION DE ALAMBRE;
SIEMBRA;SUNFLOWER;TUMBA;3
SIEMBRA;SUNFLOWER;PARCHADO DE CAMAS;
SIEMBRA;SUNFLOWER;TEJIDO;
DESBROTE;SOLIDAGO;TUTOREO;6
DESBROTE;SOLIDAGO;RALEO PODA / SELECCIÓN;300
DESBROTE;SOLIDAGO;RALEO SIEMBRA / SELECCIÓN;500
DESBROTE;SOLIDAGO;PINCH;2
DESBROTE;SOLIDAGO;ADELANTADOS;
DESBROTE;SOLIDAGO;BAJADO DE HOJA;
DESBROTE;VERONICA;TUTOREO;6
DESBROTE;VERONICA;RALEO PODA / SELECCIÓN;350
DESBROTE;VERONICA;RALEO SIEMBRA / SELECCIÓN;500
DESBROTE;VERONICA;PINCH FLOR;2
DESBROTE;VERONICA;PINCH;2500
DESBROTE;VERONICA;BASALEO;2
DESBROTE;VERONICA;BAJADO DE HOJA;
DESBROTE;HYPERICUM;TUTOREO;6
DESBROTE;GYPSOPHILA;TUTOREO;6
DESBROTE;HYPERICUM;GUIADO / PEINADO;8
DESBROTE;HYPERICUM;RALEO PODA / SELECCIÓN;525
DESBROTE;HYPERICUM;RALEO SIEMBRA / SELECCIÓN;900
DESBROTE;HYPERICUM;PINCH;2500
DESBROTE;HYPERICUM;DESBROTE 1;550
DESBROTE;GYPSOPHILA;DESBROTE 1;345
DESBROTE;HYPERICUM;DESBROTE 2;650
DESBROTE;GYPSOPHILA;DESBROTE 2;500
DESBROTE;HYPERICUM;DESBROTE 3;1000
DESBROTE;HYPERICUM;DESBROTE 4;1500
DESBROTE;HYPERICUM;PREPARADO DE CAMA;1000
DESBROTE;HYPERICUM;BASALEO;1.5
DESBROTE;HYPERICUM;SOPLADORA;25
DESBROTE;HYPERICUM;SACUDIDO;10
DESBROTE;HYPERICUM;ADELANTADOS;
DESBROTE;SUNFLOWER;TUTOREO;7
DESBROTE;GYPSOPHILA;DESBROTE 1;345
DESBROTE;GYPSOPHILA;DESBROTE 2;500
DESMALEZADO;SOLIDAGO;DESMALEZADO;3
DESMALEZADO;SOLIDAGO;ESCARIF. SIEM;4
DESMALEZADO;SOLIDAGO;ESCARIF. PODA;3
DESMALEZADO;VERONICA;DESMALEZADO;2
DESMALEZADO;VERONICA;ESCARIF. SIEM;4
DESMALEZADO;VERONICA;ESCARIF. PODA;3
DESMALEZADO;HYPERICUM;DESMALEZADO;3
DESMALEZADO;HYPERICUM;ESCARIFICADO;4
DESMALEZADO;SUNFLOWER;DESMALEZADO;1.5
COSECHA;GYPSOPHILA;Cosecha;12.8
COSECHA;GYPSOPHILA;Cosecha dumps;20
COSECHA;HYPERICUM;Cosecha;21
COSECHA;VERONICA;Cosecha;20
COSECHA;SOLIDAGO;Cosecha;20
COSECHA;SUNFLOWER;Cosecha;8.333333333
